1.0518217499,(relationshipended),man_26,26,0,45.9890710493,woman_57,57,1,52.8859698398,formationtime,0.0608125804,relationage,0.9910091695
1.1105490420,formation,man_11,11,0,33.4867912321,woman_73,73,1,76.3482527138
1.1998402843,dissolution,man_46,46,0,20.1500533965,woman_72,72,1,27.0506348244
1.1998402843,(relationshipended),man_46,46,0,20.1500533965,woman_72,72,1,27.0506348244,formationtime,0.4823080411,relationage,0.7175322432
1.2087159452,dissolution,man_35,35,0,45.1665181127,woman_76,76,1,62.6032232731
1.2087159452,(relationshipended),man_35,35,0,45.1665181127,woman_76,76,1,62.6032232731,formationtime,0.6479354177,relationage,0.5607805275
1.2387970173,dissolution,man_20,20,0,22.3331385391,woman_87,87,1,22.0672438729
1.2387970173,(relationshipended),man_20,20,0,22.3331385391,woman_87,87,1,22.0672438729,formationtime,0.8111687637,relationage,0.4276282536
1.2407424360,formation,man_16,16,0,52.8694564649,woman_87,87,1,22.0691892915
1.2749273243,formation,man_3,3,0,36.5237562476,woman_71,71,1,63.5142043228
1.2949349150,dissolution,man_11,11,0,33.6711771051,woman_73,73,1,76.5326385869
1.2949349150,(relationshipended),man_11,11,0,33.6711771051,woman_73,73,1,76.5326385869,formationtime,1.1105490420,relationage,0.1843858731
1.3112116683,dissolution,man_29,29,0,18.4682852321,woman_62,62,1,28.0582684262
1.3112116683,(relationshipended),man_29,29,0,18.4682852321,woman_62,62,1,28.0582684262,formationtime,0.3271117017,relationage,0.9840999667
1.3144016404,dissolution,man_17,17,0,43.6682449006,woman_100,100,1,44.7783204233
1.3144016404,(relationshipended),man_17,17,0,43.6682449006,woman_100,100,1,44.7783204233,formationtime,0.8085321685,relationage,0.5058694720
1.3384095001,aidsstage,man_20,20,0,22.4327510219,(none),-1,-1,-1.0000000000
1.3434183368,dissolution,man_29,29,0,18.5004919006,woman_72,72,1,27.1942128769
1.3434183368,(relationshipended),man_29,29,0,18.5004919006,woman_72,72,1,27.1942128769,formationtime,0.6524103045,relationage,0.6910080324
1.4094580482,debut,woman_95,95,1,15.0000000000,(none),-1,-1,-1.0000000000
1.4107493769,dissolution,man_15,15,0,45.4583565520,woman_88,88,1,44.9016868047
1.4107493769,(relationshipended),man_15,15,0,45.4583565520,woman_88,88,1,44.9016868047,formationtime,0.2774022830,relationage,1.1333470938
1.4154846910,formation,man_40,40,0,20.2666548775,woman_90,90,1,44.2764829366
