"IDm","IDw","FormTime","DisTime","AgeGap"
2,91,10.5718385739,10.9642053896,28.0329131682
34,88,10.3264844586,10.9772401623,-7.0268334253
43,75,10.7470918161,10.9920444824,6.3066708073
23,65,9.3216770819,11.0014435856,13.5856181148
25,98,8.3997382645,11.0118736144,-48.2655777677
44,87,10.9467977419,11.0686443184,37.4593280493
23,55,11.1882936409,11.2020342182,16.8740031145
41,82,10.9146822321,11.2042760434,-2.7364262997
42,89,10.5734840369,11.2177390379,-1.8505643869
3,65,10.7779464092,11.2223793307,27.1428318640
32,55,10.5439085036,11.2266367777,8.3616820105
2,66,9.9905821733,11.2459281258,9.9054755913
18,83,11.1687125310,11.2690768507,41.3366064303
32,59,8.7569867928,11.2746483083,6.1578778191
22,66,9.6337750973,11.3374986742,-27.3834266353
6,69,11.2402522897,11.3784160641,41.3231418126
9,53,11.2897628256,11.3847487186,-6.9681753926
45,100,9.8637551790,11.4061019812,-2.4698789178
37,62,11.0174736125,11.4439731968,16.4876053046
31,76,10.9451705266,11.4460838397,-23.3944905264
30,65,11.2777460942,11.4649718616,1.0889884113
19,90,10.4817716842,11.5372784960,-22.8680918197
32,91,9.1982837531,11.5547620295,-4.3157616416
18,69,10.2923964559,11.5594322972,45.6051346077
16,93,11.5927365176,11.6160747430,-10.5655702156
43,65,11.0305295972,11.6433947561,4.3228880566
4,88,10.4586097688,11.6501582158,-36.7189986896
47,83,10.8846592099,11.6564137737,11.3034693870
10,61,9.1631721322,11.6689805682,22.7022387382
41,77,11.0798082758,11.6743012646,5.9343635928
34,92,11.6204925396,11.7031282095,4.7414485392
29,51,11.0083501029,11.7482532758,13.0513016941
3,97,11.4122800770,11.8093853572,29.2133805937
15,91,11.7988326993,11.8126185029,26.5525514635
10,95,11.0884344472,11.8851550657,20.2691342768
7,98,9.6480195029,11.8973321709,-51.6713475714
22,68,11.7918315217,11.9461863498,4.3031248537
23,86,11.6725698934,11.9830826053,3.9311008269
4,51,11.6278609561,11.9976953975,2.6661668685
43,77,11.2901095941,12.0241932939,-9.6147669428
40,86,10.4374458870,12.0515405798,1.0906558394
15,80,10.6140448168,12.0976980485,22.1237256353
26,91,11.9917576727,12.1701457427,27.4421935878
35,79,11.8047239503,12.1877401804,30.7672346331
4,83,12.0252501110,12.2008273073,-3.4814499138
25,76,8.1804969547,12.2358230975,-48.3478990268
41,98,12.1808425234,12.2388400098,-33.3341704173
4,87,10.6266453159,12.2946904078,-14.0565081173
42,59,9.7619316565,12.3280248813,-0.5386866275
35,96,11.2850149732,12.3517322913,13.8924855814
34,100,11.7711353431,12.4252738434,-6.9998147804
47,65,12.2580073965,12.4384894247,13.4508609796
2,70,12.3069168229,12.5612947930,-19.2906659617
21,77,11.8077049257,12.7536304203,-15.8281997705
44,90,12.7179667348,12.8558660193,15.4267766592
31,75,11.9238285911,12.9038859955,31.8778024927
21,64,10.7843037045,12.9440339548,-56.0183274583
30,82,12.9074737440,12.9535595872,-21.5194564806
9,51,12.6477925630,12.9890625882,45.4801367829
48,65,11.7910880775,13.0195264281,1.0125363097
26,68,11.3729261954,13.0357215100,41.0013074999
11,69,12.3151925243,13.0923558743,26.3913817155
39,75,12.7285550923,13.1002137397,3.3494136197
44,69,13.0236886046,13.1243780483,52.3029144302
29,72,12.7068765556,13.1532673271,-8.6937209763
37,52,12.5703635773,13.1603784311,10.0906179855
17,95,11.9931644701,13.1987921268,28.7633013084
15,90,13.1661341264,13.1997317312,1.1866089296
3,75,13.0347773528,13.2368051688,29.1266146147
47,99,13.2352848892,13.2905370860,-44.4156531589
37,97,12.1938519326,13.3267390469,37.1992137328
23,70,11.1673530479,13.3374820598,-43.1270196674
47,81,11.8460396461,13.3902977074,3.2193459416
30,68,13.0640854607,13.4614508018,5.2590436711
7,91,12.9768958064,13.4765494778,-7.8542172143
27,99,13.0968844316,13.5046976776,-18.5512429057
26,74,10.9549279191,13.5234856763,13.3808391802
17,79,11.6516846332,13.5244121067,29.1632757259
25,76,13.1842430207,13.6006069871,-48.3478990268
27,89,12.3737874939,13.6995976054,39.0879742818
7,81,13.1652071919,13.7129184954,-8.6966736001
47,83,12.2480489037,13.7587539169,11.3034693870
19,58,11.3931411137,13.7658779542,4.1612573990
40,79,13.0415643939,13.8305414321,5.6606026522
27,96,12.8430662350,13.8367307322,17.3559517062
46,86,13.7446429827,13.8859255951,1.1896987650
15,96,13.5373778420,13.8873274483,13.9822905892
13,98,13.5949498081,13.9049813143,-54.5533315256
34,84,13.8420617145,13.9062253388,34.2508290454
9,64,12.0837758215,13.9166090930,-12.6478710940
29,77,13.4039409857,13.9393839818,-4.8865784950
11,72,11.8782735498,13.9573397842,6.5254476500
35,75,11.7186812400,14.0456475416,37.8355878588
29,91,12.3972927767,14.1354103490,-0.3379821479
29,64,11.0980828129,14.1356024155,-45.0767061827
18,58,12.5368781877,14.1601423161,35.7583460555
17,99,12.1128360703,14.1731181914,-23.6186679377
19,80,12.9798860768,14.1763665695,-1.9309751140
37,81,13.1477797142,14.2126873806,24.8971499651
10,78,14.1069095234,14.2433942014,30.2809721322
46,55,13.7443861815,14.2529401274,14.1326010526
41,62,14.0959498801,14.2617287411,1.2309588936
18,64,14.2064175737,14.2988050003,-10.6437846641
4,62,13.7172761594,14.3023256663,-19.9751180197
5,55,13.7415311027,14.3591613403,-3.1300067022
13,93,13.4329025136,14.3760458360,-55.4354297013
22,72,13.9123230565,14.4104485114,-17.6117278869
12,89,13.5843872696,14.5228312387,27.4610201849
12,69,14.4928964386,14.5811194526,29.8094537207
26,80,14.4609480690,14.5911532627,23.0133677596
8,92,13.6613890822,14.6689296173,-29.0342552789
23,74,12.8999803569,14.6839329309,-9.8647949451
23,88,14.3519850629,14.6839538718,-21.7993222537
21,81,12.1620560380,14.6952542561,-12.1220598092
9,56,14.4520947113,14.6965015469,48.2118333064
49,76,14.2677849162,14.8177665095,-12.4360424009
43,69,11.0222390849,14.8936292417,6.4440246413
2,72,14.7870760404,14.9018625902,19.6771743397
22,53,12.5229619400,14.9039979528,-48.3150173920
27,68,14.4546944695,14.9326022229,43.4853264927
31,93,14.8440252473,14.9327470541,-24.1942674431
6,97,14.4907578854,15.0042429487,41.2725539576
3,91,14.5264692030,       inf,17.7537732117
4,65,14.5926077305,       inf,-1.3340583211
4,87,14.6860458462,       inf,-14.0565081173
6,59,13.9823292743,       inf,40.2865860362
7,83,14.3309855804,       inf,-0.6125501547
8,51,14.0783768487,       inf,-1.4173716853
9,98,14.7301207107,       inf,-11.7262774162
12,69,14.9917251947,       inf,29.8094537207
15,98,14.9740704345,       inf,-17.2645788936
20,76,14.6293176172,       inf,-40.3001658060
22,98,14.8890809021,       inf,-53.0731194156
25,74,12.1613840981,       inf,-18.5098018182
25,92,14.6424816454,       inf,-18.6760471622
26,56,14.2004094251,       inf,43.5631739533
27,61,12.7485892219,       inf,36.2638308017
29,82,14.5029969655,       inf,-13.5573683874
30,52,13.6760753705,       inf,-23.9490586064
31,62,14.7892801019,       inf,11.2529600435
31,88,12.7841069177,       inf,-5.4909206265
32,75,13.9230936539,       inf,7.0570797614
35,65,10.2822709782,       inf,35.8518051081
36,65,14.2358726564,       inf,1.8710366818
36,74,14.6933422563,       inf,-21.5793763781
37,64,14.8777306449,       inf,-18.9991176840
37,82,11.2442276766,       inf,12.5202201113
40,65,13.0424168730,       inf,10.7451731272
43,98,14.9240989691,       inf,-48.8833009528
46,70,14.5879554448,       inf,-45.8684217293
46,99,14.5779530314,       inf,-47.0222980857
48,55,13.0326320552,       inf,4.3009213094
